District,Active,Confirmed,Deaths,Recovered
Mumbai,15918,20150,734,3498
Thane,3254,4115,48,813
Pune,2113,3821,197,1511
Aurangabad,637,939,31,271
Nashik,400,851,35,416
Raigad,330,445,16,99
Palghar,271,420,13,136
Solapur,226,373,25,122
Nagpur,193,357,2,162
Akola,182,269,14,73
Jalgaon,161,266,30,75
Satara,67,131,2,62
Amravati,34,110,14,62
Yavatmal,12,99,0,87
Hingoli,15,96,0,81
Ratnagiri,78,95,3,14
Dhule,48,80,8,24
Ahmednagar,37,75,3,35
Nanded,41,69,4,24
Sangli,19,50,1,30
Latur,21,44,2,21
Other State,31,41,10,0
Kolhapur,24,36,1,11
Buldhana,5,30,1,24
Jalna,21,28,0,7
Nandurbar,5,23,2,16
Sindhudurg,6,10,0,4
Osmanabad,4,7,0,3
Parbhani,4,6,1,1
Chandrapur,3,5,0,2
Bhandara,2,3,0,1
Beed,2,3,0,1
Washim,2,3,0,1
Wardha,1,2,1,0
Gondia,0,1,0,1
Gadchiroli,0,0,0,0
Mumbai Suburban,0,0,0,0
